,time,Vehicles,ID
0,0,13,20151101011
1,0,10,20151101021
2,0,7,20151101031
3,0,9,20151101041
4,5,6,20151101051
5,6,9,20151101061
6,7,8,20151101071
7,8,11,20151101081
8,9,12,20151101091
9,10,15,20151101101
10,11,17,20151101111
11,12,16,20151101121
12,13,15,20151101131
13,14,16,20151101141
14,15,12,20151101151
15,16,12,20151101161
16,17,16,20151101171
17,18,17,20151101181
18,19,20,20151101191
19,20,17,20151101201
20,21,19,20151101211
21,22,20,20151101221
22,23,15,20151101231
23,0,14,20151102001
24,1,12,20151102011
25,2,14,20151102021
26,3,12,20151102031
27,4,12,20151102041
28,5,11,20151102051
29,6,13,20151102061
30,7,14,20151102071
31,8,12,20151102081
32,9,22,20151102091
33,10,32,20151102101
34,11,31,20151102111
35,12,35,20151102121
36,13,26,20151102131
37,14,34,20151102141
38,15,30,20151102151
39,16,27,20151102161
40,17,27,20151102171
41,18,24,20151102181
42,19,26,20151102191
43,20,29,20151102201
44,21,32,20151102211
45,22,30,20151102221
46,23,27,20151102231
47,0,21,20151103001
48,1,18,20151103011
49,2,19,20151103021
50,3,13,20151103031
51,4,11,20151103041
52,5,11,20151103051
53,6,11,20151103061
54,7,14,20151103071
55,8,15,20151103081
56,9,29,20151103091
57,10,33,20151103101
58,11,32,20151103111
59,12,32,20151103121
60,13,29,20151103131
61,14,27,20151103141
62,15,26,20151103151
63,16,28,20151103161
64,17,26,20151103171
65,18,25,20151103181
66,19,29,20151103191
67,20,26,20151103201
68,21,24,20151103211
69,22,25,20151103221
70,23,20,20151103231
71,0,18,20151104001
72,1,18,20151104011
73,2,13,20151104021
74,3,13,20151104031
75,4,10,20151104041
76,5,12,20151104051
77,6,13,20151104061
78,7,11,20151104071
79,8,13,20151104081
80,9,22,20151104091
81,10,26,20151104101
82,11,27,20151104111
83,12,31,20151104121
84,13,24,20151104131
85,14,23,20151104141
86,15,26,20151104151
87,16,26,20151104161
88,17,24,20151104171
89,18,23,20151104181
90,19,25,20151104191
91,20,26,20151104201
92,21,24,20151104211
93,22,26,20151104221
94,23,24,20151104231
95,0,19,20151105001
96,1,20,20151105011
97,2,18,20151105021
98,3,13,20151105031
99,4,13,20151105041
100,5,9,20151105051
101,6,12,20151105061
102,7,12,20151105071
103,8,15,20151105081
104,9,16,20151105091
105,10,23,20151105101
106,11,24,20151105111
107,12,25,20151105121
108,13,24,20151105131
109,14,26,20151105141
110,15,22,20151105151
111,16,20,20151105161
112,17,20,20151105171
113,18,22,20151105181
114,19,26,20151105191
115,20,22,20151105201
116,21,21,20151105211
117,22,21,20151105221
118,23,21,20151105231
119,0,16,20151106001
120,1,18,20151106011
121,2,19,20151106021
122,3,14,20151106031
123,4,12,20151106041
124,5,13,20151106051
125,6,14,20151106061
126,7,14,20151106071
127,8,13,20151106081
128,9,20,20151106091
129,10,22,20151106101
130,11,26,20151106111
131,12,26,20151106121
132,13,21,20151106131
133,14,23,20151106141
134,15,23,20151106151
135,16,19,20151106161
136,17,19,20151106171
137,18,20,20151106181
138,19,24,20151106191
139,20,18,20151106201
140,21,19,20151106211
141,22,16,20151106221
142,23,17,20151106231
143,0,16,20151107001
144,1,16,20151107011
145,2,10,20151107021
146,3,9,20151107031
147,4,8,20151107041
148,5,7,20151107051
149,6,9,20151107061
150,7,8,20151107071
151,8,12,20151107081
152,9,13,20151107091
153,10,17,20151107101
154,11,14,20151107111
155,12,14,20151107121
156,13,14,20151107131
157,14,14,20151107141
158,15,11,20151107151
159,16,15,20151107161
160,17,13,20151107171
161,18,12,20151107181
162,19,17,20151107191
163,20,18,20151107201
164,21,17,20151107211
165,22,16,20151107221
166,23,15,20151107231
167,0,13,20151108001
168,1,16,20151108011
169,2,11,20151108021
170,3,8,20151108031
171,4,10,20151108041
172,5,10,20151108051
173,6,10,20151108061
174,7,9,20151108071
175,8,11,20151108081
176,9,12,20151108091
177,10,18,20151108101
178,11,14,20151108111
179,12,17,20151108121
180,13,14,20151108131
181,14,14,20151108141
182,15,14,20151108151
183,16,12,20151108161
184,17,14,20151108171
185,18,18,20151108181
186,19,13,20151108191
187,20,16,20151108201
188,21,18,20151108211
189,22,14,20151108221
190,23,14,20151108231
191,0,13,20151109001
192,1,15,20151109011
193,2,11,20151109021
194,3,10,20151109031
195,4,9,20151109041
196,5,8,20151109051
197,6,8,20151109061
198,7,10,20151109071
199,8,11,20151109081
200,9,17,20151109091
201,10,19,20151109101
202,11,22,20151109111
203,12,23,20151109121
204,13,23,20151109131
205,14,24,20151109141
206,15,24,20151109151
207,16,19,20151109161
208,17,19,20151109171
209,18,20,20151109181
210,19,31,20151109191
211,20,25,20151109201
212,21,35,20151109211
213,22,21,20151109221
214,23,24,20151109231
215,0,19,20151110001
216,1,19,20151110011
217,2,18,20151110021
218,3,17,20151110031
219,4,12,20151110041
220,5,10,20151110051
221,6,14,20151110061
222,7,15,20151110071
223,8,14,20151110081
224,9,34,20151110091
225,10,40,20151110101
226,11,38,20151110111
227,12,36,20151110121
228,13,27,20151110131
229,14,48,20151110141
230,15,43,20151110151
231,16,41,20151110161
232,17,35,20151110171
233,18,40,20151110181
234,19,40,20151110191
235,20,40,20151110201
236,21,36,20151110211
237,22,37,20151110221
238,23,35,20151110231
239,0,28,20151111001
240,1,25,20151111011
241,2,19,20151111021
242,3,21,20151111031
243,4,20,20151111041
244,5,15,20151111051
245,6,17,20151111061
246,7,14,20151111071
247,8,19,20151111081
248,9,22,20151111091
249,10,30,20151111101
250,11,26,20151111111
251,12,26,20151111121
252,13,23,20151111131
253,14,23,20151111141
254,15,24,20151111151
255,16,22,20151111161
256,17,24,20151111171
257,18,26,20151111181
258,19,27,20151111191
259,20,22,20151111201
260,21,23,20151111211
261,22,22,20151111221
262,23,22,20151111231
263,0,22,20151112001
264,1,17,20151112011
265,2,15,20151112021
266,3,12,20151112031
267,4,13,20151112041
268,5,9,20151112051
269,6,14,20151112061
270,7,13,20151112071
271,8,15,20151112081
272,9,27,20151112091
273,10,39,20151112101
274,11,40,20151112111
275,12,36,20151112121
276,13,34,20151112131
277,14,33,20151112141
278,15,28,20151112151
279,16,30,20151112161
280,17,26,20151112171
281,18,30,20151112181
282,19,35,20151112191
283,20,38,20151112201
284,21,34,20151112211
285,22,30,20151112221
286,23,27,20151112231
287,0,24,20151113001
288,1,21,20151113011
289,2,16,20151113021
290,3,16,20151113031
291,4,13,20151113041
292,5,11,20151113051
293,6,13,20151113061
294,7,15,20151113071
295,8,17,20151113081
296,9,18,20151113091
297,10,24,20151113101
298,11,41,20151113111
299,12,29,20151113121
300,13,25,20151113131
301,14,25,20151113141
302,15,26,20151113151
303,16,25,20151113161
304,17,24,20151113171
305,18,26,20151113181
306,19,24,20151113191
307,20,28,20151113201
308,21,22,20151113211
309,22,23,20151113221
310,23,18,20151113231
311,0,21,20151114001
312,1,20,20151114011
313,2,15,20151114021
314,3,13,20151114031
315,4,10,20151114041
316,5,10,20151114051
317,6,12,20151114061
318,7,9,20151114071
319,8,11,20151114081
320,9,15,20151114091
321,10,16,20151114101
322,11,16,20151114111
323,12,12,20151114121
324,13,11,20151114131
325,14,14,20151114141
326,15,16,20151114151
327,16,18,20151114161
328,17,13,20151114171
329,18,17,20151114181
330,19,15,20151114191
331,20,19,20151114201
332,21,15,20151114211
333,22,19,20151114221
334,23,15,20151114231
335,0,15,20151115001
336,1,13,20151115011
337,2,14,20151115021
338,3,10,20151115031
339,4,8,20151115041
340,5,9,20151115051
341,6,9,20151115061
342,7,9,20151115071
343,8,9,20151115081
344,9,16,20151115091
345,10,18,20151115101
346,11,18,20151115111
347,12,17,20151115121
348,13,18,20151115131
349,14,14,20151115141
350,15,15,20151115151
351,16,13,20151115161
352,17,15,20151115171
353,18,19,20151115181
354,19,18,20151115191
355,20,21,20151115201
356,21,17,20151115211
357,22,17,20151115221
358,23,15,20151115231
359,0,17,20151116001
360,1,14,20151116011
361,2,13,20151116021
362,3,15,20151116031
363,4,12,20151116041
364,5,12,20151116051
365,6,13,20151116061
366,7,14,20151116071
367,8,13,20151116081
368,9,16,20151116091
369,10,26,20151116101
370,11,21,20151116111
371,12,26,20151116121
372,13,24,20151116131
373,14,26,20151116141
374,15,22,20151116151
375,16,24,20151116161
376,17,26,20151116171
377,18,23,20151116181
378,19,29,20151116191
379,20,31,20151116201
380,21,27,20151116211
381,22,27,20151116221
382,23,26,20151116231
383,0,23,20151117001
384,1,21,20151117011
385,2,19,20151117021
386,3,16,20151117031
387,4,11,20151117041
388,5,11,20151117051
389,6,15,20151117061
390,7,12,20151117071
391,8,12,20151117081
392,9,18,20151117091
393,10,31,20151117101
394,11,42,20151117111
395,12,37,20151117121
396,13,30,20151117131
397,14,33,20151117141
398,15,28,20151117151
399,16,29,20151117161
400,17,28,20151117171
401,18,28,20151117181
402,19,31,20151117191
403,20,28,20151117201
404,21,26,20151117211
405,22,26,20151117221
406,23,27,20151117231
407,0,24,20151118001
408,1,23,20151118011
409,2,20,20151118021
410,3,19,20151118031
411,4,20,20151118041
412,5,16,20151118051
413,6,19,20151118061
414,7,16,20151118071
415,8,17,20151118081
416,9,19,20151118091
417,10,30,20151118101
418,11,44,20151118111
419,12,35,20151118121
420,13,34,20151118131
421,14,31,20151118141
422,15,31,20151118151
423,16,28,20151118161
424,17,34,20151118171
425,18,37,20151118181
426,19,37,20151118191
427,20,34,20151118201
428,21,31,20151118211
429,22,29,20151118221
430,23,28,20151118231
431,0,32,20151119001
